sample_number,sample_name,species_name,strain_id,in_IAMM,accession_number,source,dna_prep,ref_genome,path_to_ref
62,D20-160062-4500T,Serratia sp.,Ser,Same as serr?,,,Ser,2526164535.fna,/projectnb/hfsp/IAMM_genomes_from_Luca
63,D20-160063-4500T,Escherichia coli MRE600,Mre,Same as MRE600?,,,Mre,2622736468.fna,/projectnb/hfsp/IAMM_genomes_from_Luca
64,D20-160064-4500T,Rhodococcus erythropolis,eryth,Y,,,eryth,GCA_000010105.fna,/projectnb/hfsp/IAMM_genomes_from_Luca
65,D20-160065-4500T,Kordia algicida Sohn et al. 2004,kordia,Y,,,kordia,GCF_000154725.1_ASM15472v1_genomic.fna.gz,
66,D20-160066-4500T,Pelagibaca bermudensis,bermu,Y,,,bermu,GCF_000153725.1_ASM15372v1_genomic.fna.gz,
67,D20-160067-4500T,Pseudobacteriovorax antillogorgiicola,Vorax,Y,,,Vorax,GCF_004346105.1_ASM434610v1_genomic.fna.gz,
68,D20-160068-4500T,Haliea salexigens DSM 19537,Salex,Y,,,Salex,2523533559.fna,/projectnb/hfsp/IAMM_genomes_from_Luca
69,D20-160069-4500T,Simiduia agarivorans SA1 = DSM 21679,Simid,Y,,,Simid,2519103097.fna,/projectnb/hfsp/IAMM_genomes_from_Luca
70,D20-160070-4500T,Sulfitobacter pseudonitzschiae (Luca1),Nitsch,Same as nitzsch?,,,Nitsch,GCF_002222635.1_ASM222263v1_genomic.fna.gz,
74,D20-160074-4500T,Echinicola vietnamensis,DSM 17526,,,,Evi17526,2509276020.fna,
82,D20-160082-4500T,Sinorhizobium meliloti DSM 23913,23913,,,,23913,2597490345.fna,
83,D20-160083-4500T,Halomonas campaniensis,DSM 15293,,,,15293,GCF_000696485.1_ASM69648v1_genomic.fna.gz,
84,D20-160084-4500T,Pontibacillus halophilus,DSM 19796,,,,19796,GCF_000425205.1_ASM42520v1_genomic.fna.gz,
85,D20-160085-4500T,Jeotgalicoccus marinus,DSM 19772,,,,Jme19772,GCF_000425825.1_ASM42582v1_genomic.fna.gz,
86,D20-160086-4500T,Poseidonibacter lekithochrous,DSM 100870,,,,Pois,GCF_001878855.1_ASM187885v1_genomic.fna.gz,
87,D20-160087-4500T,Enterobacter species,RC202 SDSMT,,,,RC202,,
88,D20-160088-4500T,Gimesia maris,DSM 8797,,,,8797W,GCF_009720545.1_ASM972054v1_genomic.fna.gz,
89,D20-160089-4500T," "," ",,,,B8_M,,
90,D20-160090-4500T,Gimesia maris,DSM 8797,,,,8797Y,GCF_009720545.1_ASM972054v1_genomic.fna.gz,
91,D20-160091-4500T," "," ",,,,B10_M,GCF_002080415.1_ASM208041v1_genomic.fna.gz,
92,D20-160092-4500T," "," ",,,,C3_M,GCF_002080415.1_ASM208041v1_genomic.fna.gz,
93,D20-160093-4500T," "," ",,,,F3_M,GCF_002080415.1_ASM208041v1_genomic.fna.gz,
